,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
193,Lara Secondary College,Secondary,LARA,3212,62541.0,LARA,25.0,0.0
194,North Geelong Secondary College,Secondary,NORTH GEELONG,3215,58232.0,,,
195,Grovedale College,Secondary,GROVEDALE,3216,58795.0,GROVEDALE,25.0,2.0
196,Belmont High School,Secondary,BELMONT,3216,58795.0,BELMONT,28.0,6.3
197,Oberon High School,Secondary,ARMSTRONG CREEK,3216,58795.0,ARMSTRONG CREEK,29.0,4.0
198,Iona College Geelong,Secondary,CHARLEMONT,3217,60216.0,,,
199,Clonard College,Secondary,HERNE HILL,3218,63271.0,HERNE HILL,30.0,5.6
200,Geelong High School,Secondary,EAST GEELONG,3219,53124.0,EAST GEELONG,27.0,3.1
201,Newcomb Secondary College,Secondary,NEWCOMB,3219,53124.0,NEWCOMB,26.0,3.2
202,Matthew Flinders Girls Secondary College,Secondary,GEELONG,3220,66052.0,,,
203,Western Heights Secondary College,Secondary,GEELONG,3220,66052.0,,,
204,Sacred Heart College,Secondary,NEWTOWN,3220,66052.0,YARRAWONGA,28.0,3.4
205,St Joseph's College Geelong,Secondary,NEWTOWN,3220,66052.0,,,
206,Bellarine Secondary College,Secondary,DRYSDALE,3222,55743.0,DRYSDALE,26.0,3.1
207,Saint Ignatius College Geelong,Secondary,DRYSDALE,3222,55743.0,,,
208,Surf Coast Secondary College,Secondary,TORQUAY,3228,65548.0,,,
209,Colac Secondary College,Secondary,COLAC,3250,50264.0,COLAC,24.0,1.1
210,Trinity College Colac Inc,Secondary,COLAC,3250,50264.0,,,
211,Mercy Regional College,Secondary,CAMPERDOWN,3260,48579.0,CAMPERDOWN,26.0,1.1
212,Cobden Technical School,Secondary,COBDEN,3266,48031.0,COBDEN,25.0,0.0
213,Brauer Secondary College,Secondary,WARRNAMBOOL,3280,51319.0,,,
214,Warrnambool College,Secondary,WARRNAMBOOL,3280,51319.0,WARRNAMBOOL,26.0,2.7
215,Emmanuel College Inc.,Secondary,WARRNAMBOOL,3280,51319.0,,,
216,Baimbridge College,Secondary,HAMILTON,3300,49304.0,HAMILTON,24.0,0.7
217,Monivae College,Secondary,HAMILTON,3300,49304.0,HAMILTON,28.0,4.5
218,Heywood District Secondary College,Secondary,HEYWOOD,3304,50243.0,,,
219,Portland Secondary College,Secondary,PORTLAND,3305,56483.0,PORTLAND,28.0,3.2
220,Bayview College,Secondary,PORTLAND,3305,56483.0,PORTLAND,30.0,4.2
221,Casterton Secondary College,Secondary,CASTERTON,3311,47915.0,CASTERTON,33.0,4.2
222,Springside West Secondary College,Secondary,FRASER RISE,3336,,,,
223,Melton Secondary College,Secondary,MELTON,3337,54689.0,MELTON,26.0,4.7
224,Kurunjang Secondary College,Secondary,MELTON,3337,54689.0,MELTON,25.0,1.7
225,Catholic Regional College,Secondary,MELTON,3337,54689.0,CAROLINE SPRINGS,,
