School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Alice Miller School,ROMSEY,3434,63200.0,54519.0,32.0,9.3
Gisborne Secondary College,GISBORNE,3437,72624.0,60838.0,26.0,2.1
Braemar College,WOODEND,3442,72000.0,57365.0,32.0,12.1
Sacred Heart College,KYNETON,3444,59453.0,49968.0,28.0,3.4
Castlemaine Secondary College,CASTLEMAINE,3450,51187.0,44933.0,28.0,6.5
Daylesford Secondary College,DAYLESFORD,3460,52140.0,42634.0,27.0,2.0
Maryborough Education Centre,MARYBOROUGH,3465,45704.0,42715.0,27.0,1.2
St Arnaud Secondary College,ST ARNAUD,3478,46251.0,42244.0,29.0,0.0
Donald High School,DONALD,3480,43844.0,39528.0,28.0,8.8
Birchip P-12 School,BIRCHIP,3483,46623.0,41831.0,28.0,7.0
Ouyen P-12 College,OUYEN,3490,46599.0,42184.0,27.0,0.0
Red Cliffs Secondary College,RED CLIFFS,3496,46034.0,43156.0,24.0,0.6
Murrayville Community College,MURRAYVILLE,3512,42280.0,36678.0,29.0,0.0
Wedderburn College,WEDDERBURN,3518,42954.0,41854.0,30.0,5.6
Charlton College,CHARLTON,3525,44141.0,40549.0,31.0,11.1
Wycheproof P-12 College,WYCHEPROOF,3527,46081.0,43391.0,28.0,15.0
Tyrrell College,SEA LAKE,3533,45735.0,43018.0,34.0,12.2
Boort District P-12 School,BOORT,3537,44945.0,41518.0,29.0,3.7
Robinvale College,ROBINVALE,3549,41529.0,37101.0,27.0,0.0
Catherine McAuley College,BENDIGO,3550,54143.0,48115.0,29.0,6.2
Girton Grammar School,BENDIGO,3550,54143.0,48115.0,32.0,12.7
Victory Christian College,STRATHDALE,3550,54143.0,48115.0,27.0,1.8
Marist College Bendigo,MAIDEN GULLY,3551,58082.0,51948.0,28.0,4.2
Rochester Secondary College,ROCHESTER,3561,47891.0,44177.0,31.0,4.2
Echuca College,ECHUCA,3564,50340.0,45185.0,27.0,2.0
St Joseph's College,ECHUCA,3564,50340.0,45185.0,29.0,3.6
St Joseph's College,ECHUCA,3564,50340.0,45185.0,32.0,7.9
St Joseph's College,ECHUCA,3564,50340.0,45185.0,29.0,4.2
St Joseph's College,ECHUCA,3564,50340.0,45185.0,31.0,8.8
Cohuna Secondary College,COHUNA,3568,46986.0,42948.0,27.0,2.7
East Loddon P-12 College,DINGEE,3571,42550.0,36670.0,34.0,13.9
Kerang Technical High School,KERANG,3579,44221.0,41058.0,28.0,6.5
Kerang Christian College,KERANG,3579,44221.0,41058.0,25.0,0.0
Swan Hill College,SWAN HILL,3585,48911.0,45350.0,27.0,1.4
St Mary MacKillop College,SWAN HILL,3585,48911.0,45350.0,28.0,2.8
Rushworth P-12 College,RUSHWORTH,3612,48520.0,45568.0,25.0,2.2
St Augustine's College,KYABRAM,3620,49529.0,46316.0,26.0,1.2
Notre Dame College,SHEPPARTON,3630,48998.0,44740.0,28.0,4.1
Numurkah Secondary College,NUMURKAH,3636,49516.0,46052.0,24.0,0.0
Nathalia Secondary College,NATHALIA,3638,47446.0,44478.0,28.0,0.0
Cobram Secondary College,COBRAM,3644,48339.0,44073.0,26.0,0.9
Cobram Anglican Grammar School,COBRAM,3644,48339.0,44073.0,27.0,1.5
Broadford Secondary College,BROADFORD,3658,57282.0,52013.0,28.0,2.7
Euroa Secondary College,EUROA,3666,48785.0,44042.0,27.0,3.3
Benalla P-12 College,BENALLA,3672,50217.0,46274.0,26.0,0.0
Rutherglen High School,RUTHERGLEN,3685,51974.0,49701.0,25.0,1.1
Tallangatta Secondary College,TALLANGATTA,3700,48239.0,44352.0,26.0,0.5
Corryong College,CORRYONG,3707,45874.0,39104.0,31.0,9.2
Alexandra Secondary College,ALEXANDRA,3714,49870.0,44134.0,27.0,5.2
Yea High School,YEA,3717,51386.0,42960.0,26.0,5.0
Yarrawonga College P-12,YARRAWONGA,3730,49949.0,44212.0,28.0,3.3
Sacred Heart College,YARRAWONGA,3730,49949.0,44212.0,28.0,3.4
Bright P-12 College,BRIGHT,3741,48404.0,41948.0,30.0,2.6
Beechworth Secondary College,BEECHWORTH,3747,52145.0,46620.0,29.0,13.7
Marymede Catholic College,SOUTH MORANG,3752,59384.0,54000.0,30.0,6.8
Hazel Glen College,DOREEN,3754,61238.0,55680.0,26.0,1.2
Plenty Valley Christian College,DOREEN,3754,61238.0,55680.0,31.0,4.1
Wallan Secondary College,WALLAN,3756,59117.0,54227.0,23.0,1.0
Whittlesea Secondary College,WHITTLESEA,3757,59011.0,51032.0,23.0,1.8
Assumption College,KILMORE,3764,59784.0,53203.0,28.0,4.0
Healesville High School,HEALESVILLE,3777,53943.0,47436.0,27.0,1.3
Emerald Secondary College,EMERALD,3782,60982.0,52461.0,28.0,2.9
Sherbrooke Community School,SASSAFRAS,3787,65126.0,52570.0,28.0,3.3
Monbulk College,MONBULK,3793,54527.0,48512.0,27.0,5.6
Upper Yarra Secondary College,YARRA JUNCTION,3797,51162.0,45953.0,27.0,1.5
John Monash Science School,MONASH UNIVERSITY,3800,33410.0,12364.0,34.0,17.1
Gleneagles Secondary College,ENDEAVOUR HILLS,3802,54567.0,50264.0,28.0,5.2
Maranatha Christian School,ENDEAVOUR HILLS,3802,54567.0,50264.0,30.0,8.8
Nossal High School,NARRE WARREN,3805,55224.0,50626.0,36.0,26.3
Alkira Secondary College,NARRE WARREN SOUTH,3805,55224.0,50626.0,30.0,3.2
Berwick Secondary College,BERWICK,3806,62547.0,54450.0,31.0,5.7
Kambrya College,BERWICK,3806,62547.0,54450.0,31.0,6.4
St Margaret's School,BERWICK,3806,62547.0,54450.0,35.0,27.9
Heritage College,BERWICK,3806,62547.0,54450.0,21.0,0.0
St Francis Xavier College,BEACONSFIELD,3807,64424.0,54866.0,29.0,5.9
Officer Secondary College,OFFICER,3809,60421.0,56269.0,25.0,1.1
Pakenham Secondary College,PAKENHAM,3810,55168.0,51175.0,27.0,0.6
Beaconhills College,PAKENHAM,3810,55168.0,51175.0,31.0,6.0
Beaconhills College,PAKENHAM,3810,55168.0,51175.0,30.0,5.0
St Thomas Aquinas College,TYNONG,3813,55066.0,47734.0,27.0,2.0
Drouin Secondary College,DROUIN,3818,53660.0,47984.0,27.0,1.5
Chairo Christian School,DROUIN,3818,53660.0,47984.0,29.0,1.1
Chairo Christian School,DROUIN,3818,53660.0,47984.0,30.0,2.4
