School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Mallacoota P-12 College,MALLACOOTA,30,9.3
Manangatang P-12 College,MANANGATANG,,
Manor Lakes P-12 College,WYNDHAM VALE,23,2.1
Mansfield Secondary College,MANSFIELD,29,1.3
Maranatha Christian School,ENDEAVOUR HILLS,30,8.8
Marcellin College,BULLEEN,30,7.5
Marian College Sunshine,SUNSHINE WEST,28,2.8
Marian College Ararat,ARARAT,26,2.2
Marian College Myrtleford,MYRTLEFORD,28,0
Maribyrnong Sec College,MARIBYRNONG,29,4.5
Marist - Sion College,WARRAGUL,29,3.1
Marist College Bendigo,MAIDEN GULLY,28,4.2
Mary MacKillop Catholic College,LEONGATHA,28,4.9
Maryborough Education Centre,MARYBOROUGH,27,1.2
Marymede Catholic College,SOUTH MORANG,30,6.8
Mater Christi College,BELGRAVE,32,8.3
Matthew Flinders Girls' SC,GEELONG,29,2
Mazenod College,MULGRAVE,32,10.9
McClelland Secondary College,FRANKSTON,29,3.6
McKinnon Secondary College,MCKINNON,33,17.2
Melba College,CROYDON,29,1.7
Melbourne Girls Grammar,SOUTH YARRA,35,21.3
Melbourne Girls' College,RICHMOND,33,16.8
Melbourne Grammar School,MELBOURNE,34,23.4
Melbourne High School,SOUTH YARRA,37,30.4
Melbourne Montessori School,BRIGHTON EAST,,
Melbourne Polytechnic,PRESTON,,
Melbourne Rudolf Steiner Schl,WARRANWOOD,31,3.4
Melton Christian College,BROOKFIELD,26,0.6
Melton Secondary College,MELTON,26,4.7
Mentone Girls' Grammar School,MENTONE,35,17.9
Mentone Girls' Sec College,MENTONE,30,7.6
Mentone Grammar School,MENTONE,34,16.7
Mercy College,COBURG,29,6
Mercy Regional College,CAMPERDOWN,26,1.1
Merinda Park Learning Centre,CRANBOURNE,,
Methodist Ladies College,KEW,36,27.6
Mildura Senior College,MILDURA,25,1.3
Mill Park Secondary College,EPPING,25,1.7
Minaret College,OFFICER,27,0.6
Minaret College,SPRINGVALE,29,5.1
Mirboo North Sec College,MIRBOO NORTH,26,1.9
Monbulk College,MONBULK,27,5.6
Monivae College,HAMILTON,28,4.5
Monterey Secondary College,FRANKSTON NORTH,26,0
Montmorency Sec College,MONTMORENCY,29,4.5
Mooroolbark College,MOOROOLBARK,28,2.9
Mordialloc College,MORDIALLOC,30,7.7
Mornington Secondary College,MORNINGTON,27,4
Mortlake College,MORTLAKE,33,4.3
