,School Name,School Type,Locality,Postcode,Average Income in Postcode ,VCE median study score,Percentage of study scores of 40 and over
278,Galen Catholic College,Secondary,WANGARATTA,3676,,,
279,Rutherglen High School,Secondary,RUTHERGLEN,3685,51974.0,25.0,1.1
280,Catholic College Wodonga,Secondary,WODONGA,3689,,29.0,3.2
281,Wodonga Senior Secondary College,Secondary,WODONGA,3690,53698.0,,
282,Mount Beauty Secondary College,Secondary,MOUNT BEAUTY,3699,45491.0,,
283,Tallangatta Secondary College,Secondary,TALLANGATTA,3700,48239.0,26.0,0.5
284,Rubicon Outdoor School,Secondary,THORNTON,3712,51202.0,,
285,Alexandra Secondary College,Secondary,ALEXANDRA,3714,49870.0,27.0,5.2
286,Yea High School,Secondary,YEA,3717,51386.0,26.0,5.0
287,Mansfield Secondary College,Secondary,MANSFIELD,3724,,29.0,1.3
288,Sacred Heart College,Secondary,YARRAWONGA,3730,49949.0,28.0,3.4
289,Marian College,Secondary,MYRTLEFORD,3737,48539.0,,
290,Beechworth Secondary College,Secondary,BEECHWORTH,3747,52145.0,29.0,13.7
291,Edgars Creek Secondary College,Secondary,WOLLERT,3750,57135.0,,
292,Wallan Secondary College,Secondary,WALLAN,3756,59117.0,23.0,1.0
293,Whittlesea Secondary College,Secondary,WHITTLESEA,3757,59011.0,23.0,1.8
294,Assumption College,Secondary,KILMORE,3764,59784.0,28.0,4.0
295,Healesville High School,Secondary,HEALESVILLE,3777,53943.0,27.0,1.3
296,Emerald Secondary College,Secondary,EMERALD,3782,60982.0,28.0,2.9
297,Monbulk College,Secondary,MONBULK,3793,54527.0,27.0,5.6
298,Upper Yarra Secondary College,Secondary,YARRA JUNCTION,3797,51162.0,27.0,1.5
299,John Monash Science School,Secondary,MONASH UNIVERSITY,3800,33410.0,,
300,Gleneagles Secondary College,Secondary,ENDEAVOUR HILLS,3802,54567.0,28.0,5.2
301,Hallam Senior Secondary College,Secondary,HALLAM,3803,50194.0,,
302,Fountain Gate Secondary College,Secondary,HALLAM,3803,50194.0,,
303,Nossal High School,Secondary,NARRE WARREN,3805,55224.0,,
304,Alkira Secondary College,Secondary,NARRE WARREN SOUTH,3805,55224.0,,
305,Berwick Secondary College,Secondary,BERWICK,3806,62547.0,31.0,5.7
306,Kambrya College,Secondary,BERWICK,3806,62547.0,31.0,6.4
307,St Francis Xavier College,Secondary,BEACONSFIELD,3807,64424.0,29.0,5.9
308,Officer Secondary College,Secondary,OFFICER,3809,60421.0,25.0,1.1
309,Pakenham Secondary College,Secondary,PAKENHAM,3810,55168.0,27.0,0.6
310,Edenbrook Secondary College,Secondary,PAKENHAM,3810,55168.0,,
311,Drouin Secondary College,Secondary,DROUIN,3818,53660.0,27.0,1.5
312,Warragul Regional College,Secondary,WARRAGUL,3820,56982.0,26.0,0.3
313,Marist-Sion College,Secondary,WARRAGUL,3820,56982.0,,
314,Trafalgar High School,Secondary,TRAFALGAR,3824,59030.0,26.0,0.9
315,Lowanna College,Secondary,MOE,3825,56857.0,,
316,Neerim District Secondary College,Secondary,NEERIM SOUTH,3831,55740.0,,
317,Kurnai College,Secondary,MORWELL BC,3841,,,
318,Traralgon College,Secondary,TRARALGON,3844,64749.0,26.0,1.7
319,Lavalla Catholic College,Secondary,TRARALGON,3844,64749.0,28.0,5.4
320,Sale College,Secondary,SALE,3850,60713.0,25.0,0.4
321,Catholic College Sale,Secondary,SALE,3850,60713.0,28.0,5.2
322,Maffra Secondary College,Secondary,MAFFRA,3860,57118.0,26.0,2.6
323,Mirboo North Secondary College,Secondary,MIRBOO NORTH,3871,57041.0,,
324,Bairnsdale Secondary College,Secondary,BAIRNSDALE,3875,49920.0,25.0,1.0
325,Nagle College,Secondary,BAIRNSDALE,3875,49920.0,29.0,3.0
326,Orbost Secondary College,Secondary,ORBOST,3888,47465.0,29.0,10.4
327,Lakes Entrance Secondary College,Secondary,LAKES ENTRANCE,3909,45859.0,,
328,Elisabeth Murdoch College,Secondary,LANGWARRIN,3910,59969.0,28.0,3.2
329,Somerville Secondary College,Secondary,SOMERVILLE,3912,57912.0,25.0,0.0
330,Western Port Secondary College,Secondary,HASTINGS,3915,53162.0,,
331,Mount Eliza Secondary College,Secondary,MOUNT ELIZA,3930,74841.0,,
332,Mornington Secondary College,Secondary,MORNINGTON,3931,59820.0,27.0,4.0
333,Padua College,Secondary,MORNINGTON,3931,59820.0,30.0,5.1
334,Dromana Secondary College,Secondary,DROMANA,3936,55790.0,30.0,5.0
335,Rosebud Secondary College,Secondary,ROSEBUD,3939,50947.0,27.0,2.3
336,Korumburra Secondary College,Secondary,KORUMBURRA,3950,51482.0,,
337,Leongatha Secondary College,Secondary,LEONGATHA,3953,51028.0,27.0,1.9
338,Mary MacKillop Catholic Regional College,Secondary,LEONGATHA,3953,51028.0,,
339,Foster Secondary College,Secondary,FOSTER,3960,49704.0,28.0,5.4
340,Yarram Secondary College,Secondary,YARRAM,3971,47997.0,25.0,0.0
341,Hampton Park Secondary College,Secondary,HAMPTON PARK,3976,50053.0,,
342,Lyndhurst Secondary College,Secondary,CRANBOURNE,3977,55776.0,26.0,4.3
343,Cranbourne Secondary College,Secondary,CRANBOURNE,3977,55776.0,28.0,2.9
344,Cranbourne West Secondary College,Secondary,CRANBOURNE WEST,3977,55776.0,,
345,Cranbourne East Secondary College,Secondary,CRANBOURNE,3977,55776.0,,
346,St Peter's College,Secondary,CRANBOURNE,3977,55776.0,27.0,0.8
347,Koo Wee Rup Secondary College,Secondary,KOO WEE RUP,3981,52940.0,,
348,Wonthaggi Secondary College,Secondary,WONTHAGGI,3995,45961.0,27.0,4.0
349,Village High School,Secondary,WONTHAGGI,3995,45961.0,,
